1.88,1.85,0.413,9.9
1.86,-0.0221,3.57,3.99
4.55,-2.88,7.02,12.4
2.95,1.26,2.73,12.2
1.97,2.75,0.313,9.52
1.77,2.0,1.8,6.92
1.24,2.28,1.48,4.62
2.1,-1.73,7.32,12.9
2.57,4.3,-1.15,8.51
3.76,1.82,2.01,14.3
3.14,1.16,2.09,12.6
3.68,1.2,1.42,15.2
1.91,-2.78,8.72,7.04
2.77,-2.41,6.9,5.27
3.15,-3.58,7.76,7.69
1.38,-2.64,6.5,9.77
3.54,-2.27,5.84,7.19
0.494,-5.31,12.7,12.7
-0.492,2.64,4.03,2.04
4.73,-2.56,7.02,12.9
3.24,-2.1,7.76,12.6
3.4,-2.01,9.03,14.9
3.05,-1.19,4.87,6.68
3.58,-0.897,4.81,7.49
1.72,1.89,0.729,0.684
1.54,2.08,-0.402,-1.28
-0.116,-3.85,8.28,17.8
-0.45,-1.27,0.532,8.62
-0.953,0.0713,-0.378,8.65
-1.53,-3.44,3.95,14.2
-0.93,4.34,-2.28,-0.348
-0.378,5.55,-4.54,-2.93
-1.05,6.43,-8.85,-7.61
-1.57,7.62,-9.11,-9.47
-0.679,6.03,-7.23,-4.05
-0.779,6.56,-7.52,-4.56
-0.643,3.1,-3.17,2.08
1.98,2.28,0.224,4.03
1.49,3.35,-4.83,7.65
1.71,3.62,-2.99,9.11
0.919,5.46,-3.2,5.99
0.826,5.35,-3.71,5.88
1.23,4.51,-2.32,3.68
0.332,3.57,-1.97,1.91
-0.385,0.12,-1.28,2.3
1.34,0.818,0.214,6.77
-1.14,0.158,-2.77,3.7
1.08,0.206,-0.194,6.15
-0.389,2.44,-5.48,6.27
-0.609,5.03,-7.26,4.26
